filename, Flesch-Kincaid, Coleman-Liau index, Dale-Chale readability formula, readability level (SMOG), Automated Readability Index, # of chars, # of spaces, # of letters, # of words, # of sentences, # of complex words, # of simple words, average # of words per sentence, average # of syllables per sentence, % of complex words, text_level
charushin_strashniy_rasskaz.txt, 0, 0, 1.31, 1.383, 0, 1944, 347, 1380, 306, 88, 2, 304, 3.477, 1.931, 0.654, 2
dragunskiy_on_zhivoi.txt, 0, 0, 2.352, 2.346, 0, 3574, 630, 2594, 581, 89, 6, 575, 6.528, 1.916, 1.033, 2
dragunskiy_zakoldovannaya_bukva.txt, 0, 0, 2.94, 3.392, 0, 2249, 377, 1642, 360, 63, 9, 351, 5.714, 1.992, 2.5, 2
garshin_lyagushka_puteshestvennitsa.txt, 3.8, 3.868, 4.171, 4.512, 3.263, 7052, 1153, 5457, 1087, 106, 27, 1060, 10.255, 2.186, 2.484, 2
kataev_tsvetik_semitsvetik.txt, 3.545, 3.829, 3.705, 4.107, 3.49, 10991, 1697, 8426, 1643, 190, 40, 1603, 8.647, 2.204, 2.435, 2
nosov_fantazery.txt, 0, 0, 2.601, 2.965, 0, 5796, 1005, 4057, 902, 230, 25, 877, 3.922, 1.97, 2.772, 2
odoevskiy_gorodok_v_tabakerke.txt, 3.366, 4.248, 5.169, 5.843, 3.634, 13023, 2114, 9943, 1973, 177, 76, 1897, 11.147, 2.135, 3.852, 2
odoevskiy_moroz_ivanovich.txt, 6.15, 5.314, 6.789, 6.64, 5.562, 13202, 2142, 10222, 2045, 108, 60, 1985, 18.935, 2.157, 2.934, 2
paustovskiy_zayachji_lapy.txt, 2.817, 3.293, 3.443, 3.808, 3.036, 8258, 1324, 6381, 1256, 155, 28, 1228, 8.103, 2.165, 2.229, 2
permyak_bumazhnyi_zmei.txt, 0.833, 0, 2.486, 2.846, 0.549, 993, 162, 760, 158, 30, 3, 155, 5.267, 2.089, 1.899, 2
prishvin_kuritsa_na_stolbah.txt, 5.902, 5.431, 5.383, 6.126, 4.981, 2719, 434, 2112, 402, 36, 17, 385, 11.167, 2.313, 4.229, 2
