filename,stressed_first_v_W,c_in_the_end_W,c_in_the_beginning_W,two_syl_open_syls_W,three_syl_open_syls_W,one_syl_W,two_syl_W,one_syl_cvc_W,one_syl_begin_cc_W,two_syl_begin_cc_W,two_syl_1th_stressed_W,three_syl_2nd_stressed_W,two_syl_2nd_stressed_W,three_syl_1th_stressed_W,three_syl_cv_pattern_W,four_syl_cv_pattern_W,nom_W,acc_W,dat_W,abl_W,sent_simple_S,sent_two_homogen_S,sent_three_homogen_S,no_predic_S,sent_complic_soch_S,verbs_pers_S,parenth_S,one_syl_end_cc_W,two_syl_middle_cc_W,three_syl_begin_cc_W,three_syl_middle_cc_W,three_syl_end_cc_W,four_syl_cc_on_the_edge_W,five_syl_cv_pattern_W,adv_W,gen_W,ins_W,numeral_W,a_pro_W,coord_conjs_num_S,sent_complic_depend_S,inverse_S,s_pro_S,three_syl_3rd_stressed_W,three_syl_cc_on_the_edge_W,five_syl_cc_on_the_edge_W,rare_obsol_W,foreign_W,alt_conjs_num_S,particip_clause_S,avg_len_in_chars,len_in_chars,len_in_words
C:\Users\Mike\Desktop\important_docs\master_thesis\data\split_data_copy\2_medvezh_spyachka.txt,0.1282051282051282,0.2948717948717949,0.7307692307692307,0.19230769230769232,0.0641025641025641,0.20512820512820512,0.358974358974359,0.02564102564102564,0.07692307692307693,0.08974358974358974,0.20512820512820512,0.1794871794871795,0.15384615384615385,0.05128205128205128,0.05128205128205128,0.01282051282051282,0.14102564102564102,0.0641025641025641,0.038461538461538464,0.0,0.0,0.6666666666666666,0.0,0.4444444444444444,0.6666666666666666,0.8888888888888888,0.2222222222222222,0.0,0.14102564102564102,0.01282051282051282,0.21794871794871795,0.02564102564102564,0.02564102564102564,0.0,0.5333333333333333,0.038461538461538464,0.1282051282051282,0.01282051282051282,0.08695652173913043,0.6666666666666666,0.4444444444444444,0.3333333333333333,0.5555555555555556,0.05128205128205128,0.16666666666666666,0.038461538461538464,0.0,0.0,0.0,0.1111111111111111,0.44871794871794873,0.5,0.75
C:\Users\Mike\Desktop\important_docs\master_thesis\data\split_data_copy\2_mischtsi.txt,0.08823529411764706,0.39705882352941174,0.7794117647058824,0.16176470588235295,0.08823529411764706,0.19117647058823528,0.4264705882352941,0.014705882352941176,0.014705882352941176,0.08823529411764706,0.23529411764705882,0.058823529411764705,0.19117647058823528,0.08823529411764706,0.04411764705882353,0.0,0.11764705882352941,0.11764705882352941,0.014705882352941176,0.0,0.14285714285714285,0.2857142857142857,0.0,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.0,0.058823529411764705,0.10294117647058823,0.058823529411764705,0.11764705882352941,0.029411764705882353,0.058823529411764705,0.0,0.1111111111111111,0.11764705882352941,0.058823529411764705,0.0,0.08695652173913043,0.42857142857142855,0.0,0.0,0.5714285714285714,0.04411764705882353,0.058823529411764705,0.0,0.0,0.0,0.0,0.14285714285714285,0.45098039215686275,0.5,0.5
C:\Users\Mike\Desktop\important_docs\master_thesis\data\split_data_copy\2_morzhi.txt,0.11666666666666667,0.2833333333333333,0.7333333333333333,0.2,0.05,0.21666666666666667,0.43333333333333335,0.0,0.06666666666666667,0.016666666666666666,0.23333333333333334,0.03333333333333333,0.2,0.016666666666666666,0.06666666666666667,0.0,0.26666666666666666,0.05,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.875,0.0,0.016666666666666666,0.15,0.0,0.05,0.0,0.06666666666666667,0.016666666666666666,0.3333333333333333,0.11666666666666667,0.016666666666666666,0.0,0.09523809523809523,0.0,0.0,0.125,0.625,0.06666666666666667,0.05,0.03333333333333333,0.0,0.0,0.0,0.0,0.41944444444444445,0.5,0.5
C:\Users\Mike\Desktop\important_docs\master_thesis\data\split_data_copy\2_nagrady_pobeditelyam.txt,0.05,0.38333333333333336,0.8333333333333334,0.1,0.05,0.15,0.2,0.0,0.0,0.1,0.15,0.15,0.05,0.05,0.05,0.016666666666666666,0.1,0.15,0.0,0.0,0.0,0.5,0.0,0.5,0.75,1.75,0.0,0.016666666666666666,0.1,0.08333333333333333,0.11666666666666667,0.016666666666666666,0.08333333333333333,0.016666666666666666,0.0,0.15,0.18333333333333332,0.05,0.16666666666666666,0.5,0.0,0.25,0.0,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.5638888888888889,0.5,0.5
C:\Users\Mike\Desktop\important_docs\master_thesis\data\split_data_copy\2_obrashenie_vokrug.txt,0.14285714285714285,0.38095238095238093,0.6547619047619048,0.11904761904761904,0.023809523809523808,0.23809523809523808,0.34523809523809523,0.05952380952380952,0.03571428571428571,0.023809523809523808,0.15476190476190477,0.05952380952380952,0.19047619047619047,0.08333333333333333,0.0,0.011904761904761904,0.20238095238095238,0.08333333333333333,0.0,0.0,0.0,0.2857142857142857,0.0,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.0,0.03571428571428571,0.15476190476190477,0.03571428571428571,0.13095238095238096,0.0,0.0,0.0,0.5,0.21428571428571427,0.03571428571428571,0.03571428571428571,0.10810810810810811,0.5714285714285714,0.2857142857142857,0.0,0.14285714285714285,0.0,0.11904761904761904,0.023809523809523808,0.0,0.0,0.0,0.0,0.43353174603174605,0.5,0.75
C:\Users\Mike\Desktop\important_docs\master_thesis\data\split_data_copy\2_obvaly.txt,0.08641975308641975,0.2962962962962963,0.7530864197530864,0.1728395061728395,0.06172839506172839,0.18518518518518517,0.37037037037037035,0.024691358024691357,0.06172839506172839,0.16049382716049382,0.19753086419753085,0.1111111111111111,0.1728395061728395,0.07407407407407407,0.024691358024691357,0.0,0.2345679012345679,0.06172839506172839,0.024691358024691357,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.3333333333333333,1.3333333333333333,0.0,0.0,0.20987654320987653,0.09876543209876543,0.13580246913580246,0.06172839506172839,0.04938271604938271,0.0,0.35714285714285715,0.13580246913580246,0.024691358024691357,0.0,0.07692307692307693,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.06172839506172839,0.08641975308641975,0.012345679012345678,0.0,0.0,0.1111111111111111,0.1111111111111111,0.4506172839506173,0.5,0.75
C:\Users\Mike\Desktop\important_docs\master_thesis\data\split_data_copy\2_oruzhie_scorpiona.txt,0.19230769230769232,0.4358974358974359,0.6282051282051282,0.07692307692307693,0.02564102564102564,0.3076923076923077,0.28205128205128205,0.01282051282051282,0.05128205128205128,0.0641025641025641,0.15384615384615385,0.11538461538461539,0.1282051282051282,0.01282051282051282,0.05128205128205128,0.038461538461538464,0.24358974358974358,0.15384615384615385,0.01282051282051282,0.0,0.125,0.25,0.25,0.25,0.625,1.0,0.0,0.038461538461538464,0.1282051282051282,0.01282051282051282,0.10256410256410256,0.0,0.0641025641025641,0.0,0.3333333333333333,0.038461538461538464,0.02564102564102564,0.01282051282051282,0.391304347826087,0.75,0.0,0.25,0.625,0.05128205128205128,0.0641025641025641,0.0,0.05128205128205128,0.0,0.375,0.0,0.4155982905982906,0.5,0.75
C:\Users\Mike\Desktop\important_docs\master_thesis\data\split_data_copy\2_pochemu_grad.txt,0.0759493670886076,0.43037974683544306,0.759493670886076,0.06329113924050633,0.05063291139240506,0.34177215189873417,0.17721518987341772,0.0759493670886076,0.10126582278481013,0.0379746835443038,0.11392405063291139,0.0759493670886076,0.06329113924050633,0.05063291139240506,0.0379746835443038,0.012658227848101266,0.13924050632911392,0.11392405063291139,0.012658227848101266,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,2.1666666666666665,0.16666666666666666,0.02531645569620253,0.06329113924050633,0.02531645569620253,0.11392405063291139,0.012658227848101266,0.0759493670886076,0.0,0.3684210526315789,0.0379746835443038,0.05063291139240506,0.0,0.29411764705882354,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.0759493670886076,0.10126582278481013,0.0379746835443038,0.0,0.0,0.0,0.0,0.44725738396624476,0.5,0.75
C:\Users\Mike\Desktop\important_docs\master_thesis\data\split_data_copy\2_rys.txt,0.04395604395604396,0.4945054945054945,0.8791208791208791,0.12087912087912088,0.07692307692307693,0.26373626373626374,0.27472527472527475,0.04395604395604396,0.01098901098901099,0.10989010989010989,0.18681318681318682,0.17582417582417584,0.08791208791208792,0.10989010989010989,0.08791208791208792,0.0,0.27472527472527475,0.054945054945054944,0.0,0.0,0.0,0.0,0.2222222222222222,0.3333333333333333,0.3333333333333333,1.6666666666666667,0.1111111111111111,0.06593406593406594,0.0989010989010989,0.054945054945054944,0.17582417582417584,0.0,0.054945054945054944,0.0,0.1111111111111111,0.08791208791208792,0.08791208791208792,0.0,0.0,0.4444444444444444,0.0,0.6666666666666666,0.1111111111111111,0.01098901098901099,0.12087912087912088,0.01098901098901099,0.0,0.0,0.0,0.0,0.4679487179487179,0.5,0.75
C:\Users\Mike\Desktop\important_docs\master_thesis\data\split_data_copy\2_samaya_malenkaya.txt,0.05063291139240506,0.35443037974683544,0.8354430379746836,0.13924050632911392,0.0759493670886076,0.16455696202531644,0.25316455696202533,0.05063291139240506,0.0379746835443038,0.10126582278481013,0.17721518987341772,0.13924050632911392,0.0759493670886076,0.16455696202531644,0.0379746835443038,0.0,0.22784810126582278,0.05063291139240506,0.012658227848101266,0.0,0.0,0.5,0.0,0.16666666666666666,0.3333333333333333,1.3333333333333333,0.0,0.02531645569620253,0.05063291139240506,0.08860759493670886,0.22784810126582278,0.012658227848101266,0.0759493670886076,0.012658227848101266,0.1111111111111111,0.16455696202531644,0.06329113924050633,0.0,0.25,0.3333333333333333,0.5,0.5,0.16666666666666666,0.02531645569620253,0.189873417721519,0.012658227848101266,0.0,0.0,0.0,0.0,0.49050632911392406,0.5,0.75
