filename, Flesch-Kincaid, Coleman-Liau index, Dale-Chale readability formula, readability level (SMOG), Automated Readability Index, # of chars, # of spaces, # of letters, # of words, # of sentences, # of complex words, # of simple words, average # of words per sentence, average # of syllables per sentence, % of complex words
443355_II-3.txt, 11.133, 10.412, 9.564, 10.878, 11.445, 2770, 365, 2296, 388, 20, 30, 358, 19.4, 2.497, 7.732
443355_II-4.txt, 11.832, 10.441, 10.574, 11.864, 12.189, 4600, 623, 3798, 647, 28, 50, 597, 23.107, 2.464, 7.728
443355_II-5.txt, 6.747, 7.356, 6.913, 7.77, 7.349, 8161, 1141, 6605, 1211, 80, 61, 1150, 15.137, 2.284, 5.037
443355_II-6.txt, 8.681, 8.872, 7.587, 8.544, 9.232, 10458, 1421, 8522, 1496, 91, 84, 1412, 16.44, 2.391, 5.615
443355_II-7.txt, 9.89, 9.112, 9.324, 10.551, 10.002, 7609, 1038, 6234, 1098, 56, 79, 1019, 19.607, 2.405, 7.195
443355_II-8.txt, 10.465, 9.608, 9.185, 10.376, 10.547, 23693, 3180, 19461, 3373, 173, 236, 3137, 19.497, 2.448, 6.997
443355_II-9.txt, 8.329, 8.08, 7.895, 8.678, 8.642, 7864, 1108, 6429, 1167, 63, 60, 1107, 18.524, 2.32, 5.141
443741.txt, 2.98, 2.627, 3.815, 4.391, 2.899, 576127, 85146, 440296, 85992, 12786, 3083, 82909, 6.725, 2.207, 3.585
453131_kapaluha.txt, 6.518, 7.007, 5.074, 5.82, 6.889, 3668, 487, 2973, 529, 54, 23, 506, 9.796, 2.388, 4.348
453131_melodiya-chaikovskogo.txt, 6.147, 6.647, 6.088, 6.982, 6.358, 8425, 1139, 6761, 1237, 109, 67, 1170, 11.349, 2.327, 5.416
453131_mnogoobrazie-voiny.txt, 11.04, 8.917, 9.05, 9.64, 10.36, 5308, 740, 4311, 770, 34, 40, 730, 22.647, 2.418, 5.195
453131_svyazistka.txt, 7.156, 7.192, 6.483, 7.29, 7.073, 33131, 4575, 26542, 4868, 343, 230, 4638, 14.192, 2.334, 4.725
