Лемма ;Частота (ipm) ;Ранг ;
превращаться;42.7;2660;
создаваться;42.6;2666;
плыть;42.5;2668;
побывать;42.5;2669;
рассматриваться;42.2;2688;
уважать;42.2;2689;
выскочить;42.1;2690;
образоваться;42.1;2692;
проговорить;42.1;2693;
хранить;42.1;2694;
обрадоваться;41.7;2706;
пропустить;41.7;2708;
танцевать;41.7;2710;
дождаться;41.6;2713;
избрать;41.6;2714;
завести;41.5;2721;
захватить;41.5;2722;
оглянуться;41.5;2723;
описывать;41.5;2724;
сунуть;41.5;2725;
исчезать;41.4;2727;
разделить;41.4;2728;
складываться;41.4;2729;
последовать;41.2;2735;
отражать;41.1;2738;
приближаться;41.0;2742;
вступать;40.9;2745;
надоесть;40.9;2748;
интересоваться;40.8;2752;
подлежать;40.8;2754;
произносить;40.8;2756;
раскрыть;40.8;2757;
арестовать;40.7;2760;
целовать;40.7;2764;
орать;40.6;2769;
отвести;40.6;2770;
тянуться;40.6;2771;
достаться;40.5;2773;
полагаться;40.5;2776;
открываться;40.4;2785;
сохранять;40.4;2787;
воспользоваться;40.3;2791;
махнуть;40.2;2799;
приобретать;40.1;2810;
сложить;40.1;2811;
вскочить;40.0;2812;
выражать;40.0;2813;
понадобиться;40.0;2815;
поглядеть;39.9;2820;
сделаться;39.9;2821;
поинтересоваться;39.8;2825;
признаваться;39.7;2831;
высказать;39.6;2834;
ложиться;39.5;2842;
проявить;39.5;2844;
спуститься;39.5;2846;
влиять;39.4;2851;
довести;39.4;2852;
содержаться;39.3;2858;
подтверждать;39.2;2866;
защитить;39.1;2869;
исполнить;39.1;2871;
заплатить;38.9;2875;
управлять;38.9;2878;
спрятать;38.8;2884;
привлекать;38.7;2888;
исследовать;38.6;2894;
нанести;38.5;2902;
приготовить;38.5;2903;
прыгать;38.5;2904;
вынудить;38.3;2909;
пояснить;38.3;2911;
контролировать;38.2;2915;
применяться;38.2;2917;
руководить;38.2;2918;
строиться;38.2;2919;
рассчитать;38.1;2924;
шутить;38.1;2929;
молиться;38.0;2932;
восстановить;37.8;2942;
вынуть;37.8;2943;
рисовать;37.5;2963;
рекомендовать;37.4;2968;
приниматься;37.3;2974;
настаивать;37.2;2978;
придавать;37.1;2988;
глянуть;37.0;2991;
доставить;37.0;2992;
замереть;37.0;2993;
оказать;37.0;2995;
планировать;36.8;3004;
осуществить;36.7;3011;
отозваться;36.7;3012;
разбить;36.7;3013;
разойтись;36.7;3014;
перенести;36.6;3019;
испытать;36.5;3026;
закрывать;36.4;3032;
окончить;36.4;3033;
оценивать;36.4;3034;
нарушить;35.9;3062;
ощутить;35.9;3063;
научить;35.8;3068;
сопровождать;35.8;3071;
пробовать;35.7;3081;
стучать;35.7;3082;
выставить;35.5;3096;
напечатать;35.5;3097;
прикрыть;35.5;3099;
пускать;35.5;3100;
сиять;35.5;3102;
делиться;35.4;3105;
проживать;35.4;3109;
изобразить;35.3;3114;
изучить;35.3;3115;
подвести;35.3;3119;
призвать;35.3;3120;
производиться;35.3;3121;
достигать;35.2;3124;
допускать;35.1;3128;
посылать;35.1;3130;
утратить;35.1;3134;
захотеться;35.0;3137;
класть;35.0;3138;
возразить;34.9;3145;
грозить;34.9;3146;
подобрать;34.9;3151;
образовывать;34.8;3154;
предполагаться;34.8;3156;
проявлять;34.8;3157;
устанавливать;34.8;3160;
водить;34.7;3163;
помолчать;34.6;3169;
постоять;34.4;3180;
сдавать;34.4;3182;
демонстрировать;34.3;3186;
посидеть;34.3;3190;
распространить;34.3;3191;
спускаться;34.3;3192;
догадываться;34.2;3196;
изображать;34.2;3197;
бродить;34.1;3206;
опираться;34.0;3222;
посоветовать;34.0;3223;
разглядывать;34.0;3224;
задержать;33.9;3230;
нарисовать;33.9;3233;
одеть;33.9;3234;
располагаться;33.9;3237;
беседовать;33.8;3239;
заболеть;33.8;3241;
превратить;33.8;3245;
доверять;33.7;3252;
налить;33.7;3255;
отдохнуть;33.7;3257;
покачать;33.7;3258;
течь;33.7;3260;
гнать;33.6;3262;
обусловить;33.6;3265;
связывать;33.5;3273;
удивить;33.5;3275;
биться;33.4;3280;
браться;33.3;3290;
присесть;33.3;3294;
тратить;33.3;3297;
разрушить;33.2;3299;
волновать;33.1;3300;
окружить;33.1;3305;
плавать;33.1;3306;
развивать;33.1;3308;
спасать;33.1;3309;
видеться;33.0;3313;
возглавлять;33.0;3314;
обязать;33.0;3320;
гордиться;32.9;3326;
доказывать;32.9;3327;
проявляться;32.9;3329;
сообразить;32.9;3331;
заказать;32.8;3333;
трогать;32.8;3337;
завершить;32.7;3339;
отменить;32.6;3349;
попасться;32.6;3351;
поцеловать;32.6;3352;
пугать;32.6;3353;
избежать;32.5;3356;
подхватить;32.5;3360;
потрясти;32.5;3361;
предоставлять;32.5;3362;
советовать;32.5;3364;
выбросить;32.4;3370;
доложить;32.4;3371;
объясняться;32.4;3374;
скрыть;32.4;3377;
обидеться;32.3;3381;
отказать;32.3;3382;
повесить;32.3;3383;
посетить;32.3;3384;
разбираться;32.3;3386;
двинуться;32.2;3389;
замолчать;32.2;3391;
окружать;32.2;3393;
успевать;32.2;3399;
обрести;32.1;3402;
подчеркивать;32.1;3404;
переводить;32.0;3413;
полезть;32.0;3414;
храниться;32.0;3416;
вырваться;31.авг;3431;
заинтересовать;31.авг;3432;
издать;31.авг;3433;
помешать;31.авг;3434;
ценить;31.авг;3441;
сравнить;31.июл;3446;
тащить;31.6;3454;
совпадать;31.май;3458;
благодарить;31.4;3459;
направиться;31.4;3461;
пообещать;31.4;3462;
развернуть;31.4;3463;
прозвучать;31.мар;3474;
соглашаться;31.мар;3477;
доставать;31.2;3483;
зарегистрировать;31.2;3484;
обмануть;31.2;3488;
обнять;31.2;3489;
оглядываться;31.2;3490;
опасаться;31.2;3491;
сменить;31.2;3495;
рассуждать;31.янв;3501;
украсть;31.янв;3504;
заявлять;31.0;3507;
ошибиться;31.0;3508;
повысить;31.0;3510;
поручить;31.0;3513;
заполнить;30.сен;3520;
опуститься;30.сен;3525;
развести;30.сен;3527;
заплакать;30.авг;3529;
заслужить;30.авг;3530;
засыпать;30.авг;3531;
преодолеть;30.авг;3536;
трудиться;30.авг;3538;
пожалеть;30.июл;3545;
лечить;30.июн;3552;
валяться;30.май;3559;
зарабатывать;30.май;3562;
охватить;30.май;3564;
предусматривать;30.май;3565;
выражаться;30.апр;3569;
доходить;30.апр;3570;
обидеть;30.апр;3572;
обойти;30.апр;3573;
сломать;30.апр;3578;
вытянуть;30.мар;3580;
даваться;30.мар;3581;
отвернуться;30.мар;3584;
прощать;30.мар;3587;
