Лемма ;Частота (ipm) ;Ранг ;
крупнейший;47.4;2457;
густой;47.2;2464;
действующий;47.2;2465;
надежный;47.2;2467;
очевидный;47.1;2470;
пожилой;47.1;2471;
аналогичный;46.7;2479;
законный;46.7;2480;
муниципальный;46.6;2490;
максимальный;46.5;2494;
неприятный;46.5;2495;
особенный;46.0;2518;
прозрачный;46.0;2519;
церковный;46.0;2520;
громкий;45.9;2521;
самостоятельный;45.6;2534;
электрический;45.2;2549;
нервный;45.0;2553;
заметный;44.8;2557;
важнейший;44.6;2565;
стратегический;44.6;2567;
одинокий;44.5;2570;
бюджетный;44.4;2572;
ответственный;43.9;2588;
рыночный;43.8;2593;
крутой;43.4;2613;
противоположный;43.4;2618;
рыжий;43.2;2630;
текущий;43.2;2633;
ядерный;43.1;2639;
обыкновенный;43.0;2644;
подлинный;42.8;2655;
вынужденный;42.7;2658;
грубый;42.6;2664;
металлический;42.4;2675;
абсолютный;42.3;2680;
интеллектуальный;41.9;2700;
статистический;41.9;2702;
необычный;41.8;2705;
недавний;41.6;2716;
рекламный;41.6;2718;
служебный;41.2;2736;
письменный;41.0;2741;
итальянский;40.9;2747;
половой;40.9;2750;
глухой;40.7;2761;
предварительный;40.7;2763;
чеченский;40.7;2765;
экологический;40.7;2766;
длительный;40.6;2767;
страховой;40.5;2777;
всеобщий;40.4;2780;
демократический;40.4;2781;
душевный;40.1;2804;
печальный;39.9;2819;
пенсионный;39.7;2830;
объективный;39.6;2839;
теоретический;39.5;2847;
моральный;39.2;2863;
инвестиционный;39.1;2870;
земельный;38.9;2876;
невероятный;38.8;2882;
законодательный;38.7;2887;
вечерний;38.6;2891;
идеальный;38.6;2893;
непосредственный;38.6;2895;
президентский;38.6;2896;
столичный;38.6;2898;
хозяйственный;38.6;2899;
сладкий;38.4;2907;
водный;38.3;2908;
доступный;38.2;2914;
уважаемый;38.1;2927;
банковский;38.0;2930;
цветной;37.9;2939;
жилой;37.8;2944;
оперативный;37.7;2951;
христианский;37.7;2953;
разнообразный;37.6;2954;
тесный;37.6;2956;
блестящий;37.5;2957;
жестокий;37.5;2961;
плотный;37.5;2962;
четкий;37.5;2964;
публичный;37.4;2967;
исходный;37.1;2985;
социалистический;37.1;2989;
модный;36.9;2999;
ровный;36.9;3002;
нравственный;36.8;3003;
своеобразный;36.8;3005;
успешный;36.8;3007;
благородный;36.7;3008;
священный;36.7;3015;
явный;36.7;3017;
суровый;36.6;3022;
существующий;36.6;3023;
бледный;36.5;3024;
ленинградский;36.3;3041;
ключевой;36.0;3056;
божественный;35.9;3060;
искусственный;35.7;3075;
намерен;35.7;3077;
сумасшедший;35.7;3083;
устойчивый;35.7;3084;
вчерашний;35.6;3087;
коммунистический;35.6;3090;
окончательный;35.6;3092;
взаимный;35.5;3094;
развитой;35.5;3101;
качественный;35.2;3125;
приличный;35.1;3131;
царский;35.0;3142;
железнодорожный;34.9;3147;
серебряный;34.8;3158;
актуальный;34.7;3162;
сплошной;34.7;3167;
выдающийся;34.6;3168;
украинский;34.6;3170;
худой;34.6;3171;
газовый;34.5;3172;
разумный;34.5;3177;
должностной;34.4;3179;
великолепный;34.2;3194;
невидимый;34.1;3210;
нормативный;34.1;3211;
положенный;34.1;3213;
седой;34.1;3215;
автомобильный;34.0;3219;
повышенный;33.9;3235;
справедливый;33.9;3238;
гигантский;33.8;3240;
конституционный;33.8;3242;
подземный;33.8;3244;
давний;33.7;3250;
небесный;33.7;3256;
нефтяной;33.6;3264;
голодный;33.5;3266;
избирательный;33.5;3269;
компьютерный;33.5;3270;
философский;33.5;3278;
двойной;33.4;3281;
процессуальный;33.4;3287;
психический;33.3;3295;
глобальный;33.0;3315;
польский;33.0;3321;
потенциальный;33.0;3322;
коллективный;32.8;3334;
наибольший;32.5;3357;
стеклянный;32.5;3366;
атомный;32.4;3369;
мрачный;32.4;3373;
достаточный;32.2;3390;
отрицательный;32.2;3394;
головной;32.1;3401;
бытовой;32.0;3407;
горький;32.0;3408;
радостный;32.0;3415;
оригинальный;31.9;3423;
революционный;31.9;3424;
типичный;31.9;3426;
трагический;31.9;3427;
утренний;31.9;3428;
сексуальный;31.авг;3437;
таинственный;31.6;3452;
таможенный;31.6;3453;
принципиальный;31.май;3457;
удачный;31.4;3465;
чудесный;31.4;3466;
противный;31.мар;3475;
вредный;31.2;3482;
книжный;31.2;3485;
начальный;31.2;3486;
почетный;31.2;3493;
правительственный;31.2;3494;
воинский;31.янв;3496;
дурной;31.янв;3497;
кожаный;31.янв;3498;
перспективный;31.янв;3500;
ближний;30.сен;3518;
выгодный;30.сен;3519;
критический;30.сен;3522;
экспериментальный;30.сен;3528;
торжественный;30.июл;3548;
грустный;30.июн;3550;
комплексный;30.июн;3551;
неплохой;30.июн;3553;
жалкий;30.апр;3571;
посторонний;30.апр;3574;
тогдашний;30.апр;3579;
ледяной;30.мар;3583;
структурный;30.2;3599;
занятый;30.янв;3603;
могучий;30.0;3619;
громадный;29.сен;3625;
сталинский;29.сен;3630;
сельскохозяйственный;29.авг;3637;
славный;29.июн;3652;
британский;29.май;3656;
кредитный;29.май;3660;
любопытный;29.май;3661;
оптимальный;29.апр;3673;
районный;29.апр;3676;
стандартный;29.апр;3678;
немалый;29.2;3697;
бессмысленный;29.янв;3702;
натуральный;29.янв;3704;
негативный;29.янв;3705;
плоский;29.янв;3709;
сибирский;29.0;3724;
боковой;28.сен;3729;
дорожный;28.сен;3731;
математический;28.авг;3743;
идеологический;28.июл;3752;
незаконный;28.июл;3754;
авиационный;28.июн;3757;
программный;28.июн;3767;
самарский;28.июн;3769;
базовый;28.апр;3780;
биологический;28.апр;3781;
гениальный;28.апр;3783;
деревенский;28.апр;3784;
загадочный;28.апр;3785;
грозный;28.мар;3792;
проклятый;28.мар;3796;
волшебный;28.фев;3802;
подводный;28.фев;3809;
сырой;28.фев;3814;
первичный;28.янв;3821;
предстоящий;28.янв;3822;
нелепый;28.0;3832;
недовольный;27.сен;3839;
осенний;27.авг;3851;
пушкинский;27.авг;3854;
греческий;27.июл;3858;
солидный;27.июл;3869;
энергетический;27.июл;3871;
всемирный;27.июн;3873;
контрольный;27.июн;3875;
поэтический;27.июн;3881;
симпатичный;27.июн;3882;
малейший;27.май;3889;
специфический;27.май;3894;
бурный;27.апр;3897;
весенний;27.мар;3906;
коммунальный;27.мар;3909;
роскошный;27.мар;3912;
