Лемма ;Частота (ipm) ;Ранг ;
секунда;105.2;1155;
скорость;105.2;1156;
поиск;105.0;1157;
суть;104.9;1159;
налог;104.7;1160;
ошибка;104.4;1161;
доход;103.6;1167;
режиссер;103.5;1169;
поверхность;103.4;1170;
ощущение;103.3;1171;
карта;103.0;1173;
клуб;103.0;1174;
станция;103.0;1176;
революция;102.9;1177;
колено;102.8;1178;
министерство;102.8;1179;
стекло;102.8;1180;
этаж;102.7;1181;
высота;101.9;1183;
бабушка;101.8;1185;
трубка;101.7;1188;
газ;101.0;1195;
мастер;100.8;1197;
поведение;100.7;1200;
столица;100.2;1205;
механизм;100.1;1206;
передача;100.1;1207;
способность;99.9;1210;
подход;99.8;1211;
энергия;99.7;1214;
существование;99.6;1216;
исполнение;99.5;1217;
кино;99.4;1219;
сожаление;99.4;1220;
заместитель;99.3;1221;
ресурс;98.7;1226;
акция;98.5;1228;
рождение;98.5;1230;
администрация;98.3;1233;
стоимость;98.1;1237;
улыбка;98.1;1238;
артист;98.0;1239;
сосед;97.8;1246;
фраза;97.8;1247;
фигура;97.5;1249;
субъект;97.3;1251;
реакция;97.2;1253;
список;97.2;1254;
фотография;97.2;1255;
журналист;97.0;1256;
май;97.0;1257;
нарушение;96.8;1260;
заседание;96.7;1261;
толпа;96.7;1262;
больница;96.6;1263;
существо;96.6;1264;
свойство;96.4;1268;
долг;96.2;1269;
поколение;96.2;1270;
животное;95.9;1272;
схема;95.9;1273;
усилие;95.9;1274;
отличие;95.8;1275;
остров;95.7;1278;
противник;95.5;1280;
волна;95.4;1281;
реализация;95.1;1285;
страница;95.1;1286;
формирование;95.0;1287;
житель;94.9;1288;
красота;94.7;1291;
птица;94.5;1294;
растение;94.4;1297;
тень;94.3;1298;
явление;94.3;1299;
храм;94.2;1300;
запах;94.1;1301;
водка;93.9;1303;
наличие;93.9;1304;
ужас;93.8;1307;
одежда;93.7;1308;
кресло;93.6;1310;
больной;93.4;1311;
поезд;93.3;1312;
университет;93.3;1313;
традиция;93.1;1317;
адрес;92.7;1318;
декабрь;92.7;1319;
ладонь;92.7;1320;
сведение;92.5;1322;
цветок;92.4;1324;
лидер;92.2;1327;
октябрь;92.2;1328;
занятие;92.1;1329;
сентябрь;92.1;1332;
помещение;91.9;1333;
январь;91.9;1336;
зритель;91.7;1338;
редакция;91.5;1341;
стиль;91.4;1344;
весна;91.3;1345;
фактор;91.2;1347;
август;91.0;1348;
известие;91.0;1349;
зависимость;90.9;1350;
охрана;90.9;1351;
оборудование;90.5;1354;
концерт;90.2;1356;
отделение;90.2;1357;
расход;90.2;1358;
выставка;89.9;1360;
милиция;89.9;1361;
переход;89.3;1366;
эпоха;89.0;1368;
запад;88.9;1369;
произведение;88.9;1371;
родина;88.9;1372;
собственность;88.9;1373;
тайна;88.9;1374;
трава;88.7;1378;
лагерь;88.6;1380;
имущество;88.4;1382;
кровать;88.4;1384;
аппарат;88.2;1390;
середина;88.2;1393;
март;88.1;1396;
клиент;87.9;1398;
дама;87.7;1400;
фронт;87.7;1403;
отрасль;87.6;1405;
стул;87.6;1406;
беседа;87.5;1407;
законодательство;87.3;1414;
продажа;87.3;1415;
повышение;87.2;1416;
музей;87.0;1420;
след;86.9;1423;
полковник;86.8;1425;
сомнение;86.8;1427;
понимание;86.7;1428;
апрель;86.2;1433;
князь;86.0;1434;
рыба;86.0;1436;
дума;85.5;1442;
кодекс;85.4;1445;
сутки;85.4;1446;
чудо;85.4;1447;
шея;85.3;1449;
судья;85.2;1451;
крыша;85.0;1456;
настроение;85.0;1457;
поток;84.8;1461;
должность;84.6;1464;
преступление;84.6;1465;
мозг;84.5;1467;
честь;84.4;1470;
пост;84.3;1471;
еврей;84.1;1474;
июнь;84.0;1477;
сотня;84.0;1479;
дождь;83.2;1490;
лестница;83.1;1492;
дача;82.8;1497;
установка;82.6;1500;
появление;82.5;1501;
получение;82.3;1502;
образец;82.1;1505;
труба;82.1;1506;
главное;82.0;1507;
осень;81.8;1512;
костюм;81.3;1518;
баба;81.2;1522;
ценность;81.2;1523;
обязанность;81.1;1524;
пьеса;81.1;1525;
таблица;81.0;1527;
вино;80.9;1528;
воспоминание;80.9;1529;
лошадь;80.9;1530;
коллега;80.6;1534;
организм;80.6;1535;
ученик;80.4;1537;
учреждение;80.4;1538;
открытие;80.2;1540;
том;80.0;1542;
черта;80.0;1543;
характеристика;79.9;1546;
выполнение;79.6;1549;
оборона;79.6;1550;
выступление;79.5;1551;
температура;79.5;1552;
перспектива;79.4;1554;
подруга;79.4;1556;
приказ;79.4;1557;
жертва;79.3;1559;
ресторан;79.3;1562;
километр;79.2;1563;
спор;79.2;1565;
вкус;78.9;1569;
признак;78.9;1571;
промышленность;78.9;1572;
американец;78.8;1574;
лоб;78.7;1575;
заключение;78.6;1576;
восток;78.5;1578;
исключение;78.3;1580;
ключ;78.0;1584;
постановление;78.0;1585;
слой;77.6;1589;
бок;77.4;1590;
июль;77.0;1595;
перевод;77.0;1597;
секретарь;77.0;1598;
кусок;76.8;1599;
слух;76.7;1601;
польза;76.6;1605;
звонок;76.5;1606;
обстановка;76.2;1608;
чиновник;75.9;1613;
соглашение;75.8;1615;
деталь;75.7;1616;
русский;75.7;1617;
тишина;75.6;1619;
зарплата;75.5;1620;
билет;75.4;1622;
подарок;75.4;1624;
тюрьма;75.4;1625;
ящик;75.4;1626;
конкурс;75.3;1627;
книжка;75.1;1629;
изучение;75.0;1631;
просьба;74.7;1636;
царь;74.7;1637;
публика;74.6;1638;
смех;74.6;1639;
